fold,disease,loss
0,SKCM,1.9915712971285164
0,BLCA,1.6701404196875436
0,HNSC,1.5356717480553521
0,CESC,1.0529166893525557
0,LIHC,1.5324407185413944
0,LGG,1.094257228582808
0,KIRC,1.3849632036490518
0,LUSC,1.6876636299976082
0,LUAD,1.2822949340544552
0,COAD,1.1862478531323946
0,STAD,1.3659909472746008
1,SKCM,2.1054255621773854
1,BLCA,1.5152736186981202
1,HNSC,2.071235385694002
1,LIHC,1.417332042347301
1,LGG,1.0770541381835939
1,LUSC,1.6765049854914347
1,LUAD,1.2859056363871069
1,STAD,1.2394516846490284
2,SKCM,1.9497920247011407
2,BLCA,1.8486991969021884
2,HNSC,1.6329757484157434
2,CESC,0.9331309784133479
2,LIHC,1.4669368831734908
2,LGG,1.0345143359534594
2,KIRC,1.2869207840117196
2,LUSC,1.3623884217492466
2,LUAD,1.7523443376316743
2,COAD,1.4497269006336437
2,STAD,1.5399638316670403
3,SKCM,2.393738467117836
3,BLCA,1.9291882514953613
3,HNSC,1.4773172669940524
3,CESC,1.1392975312012892
3,LIHC,1.3549628292304883
3,LGG,0.9588244342803955
3,LUSC,1.6849960327148437
3,LUAD,1.3783957242965699
3,STAD,1.3090885281562805
4,SKCM,2.0582771125592685
4,BLCA,1.1506113689772937
4,OV,2.256588417550792
4,HNSC,1.541452592991768
4,CESC,1.3632890701293945
4,LIHC,1.7745750176184105
4,LGG,1.0979926765605967
4,KIRC,0.9777403237684718
4,LUSC,1.6837667683337598
4,LUAD,1.608492450280623
4,COAD,1.3048667907714844
4,STAD,1.508467447757721
5,SKCM,1.9543265298355457
5,BLCA,1.6146323680877686
5,HNSC,1.5381124471363268
5,CESC,1.233276673725673
5,LIHC,1.1679390178007238
5,LGG,1.1714388847351074
5,KIRC,1.1072818531709558
5,LUSC,1.3698925200630636
5,LUAD,1.577079439163208
5,STAD,1.5734334703701645
6,SKCM,1.7907996451717683
6,BLCA,1.4767855752598156
6,OV,1.5765649634738301
6,HNSC,1.5928867048687405
6,LIHC,1.344255175554391
6,LGG,0.86279825369517
6,LUSC,1.741642257441645
6,LUAD,1.490236152050107
6,STAD,1.5866027306287716
7,SKCM,2.0866212447484336
7,BLCA,1.4119091450221954
7,OV,2.338288908419402
7,HNSC,1.8205638546692697
7,LIHC,1.0483210862628998
7,LUSC,1.6593336209483531
7,LUAD,1.1952707391036184
7,COAD,1.0879343653482103
7,STAD,1.4507961140738592
8,SKCM,2.159961547744408
8,BLCA,1.4745696177558294
8,OV,2.01866690158844
8,HNSC,1.6421147818417894
8,LIHC,1.7283932110842537
8,LGG,1.1320997740804535
8,KIRC,1.2664480606714885
8,LUSC,1.752838035909141
8,LUAD,1.4028707727209313
8,COAD,1.2216439247131348
8,STAD,1.598954464594523
9,SKCM,1.6981981493705927
9,BLCA,1.4760343441887507
9,HNSC,2.33751852537996
9,LIHC,1.3785811541172175
9,LGG,1.411080548078707
9,KIRC,1.494547764821486
9,LUSC,1.946925503867013
9,LUAD,1.349745914515327
9,COAD,0.9730289280414581
9,STAD,1.0658994381244367
