"","V3","n","hgnc_symbol"
"148","ENSG00000034152",1,"MAP2K3"
"149","ENSG00000034713",1,"GABARAPL2"
"150","ENSG00000035115",1,"SH3YL1"
"151","ENSG00000035403",1,"VCL"
"152","ENSG00000035862",4,"TIMP2"
"153","ENSG00000036257",3,"CUL3"
"154","ENSG00000036473",1,"OTC"
"155","ENSG00000036672",2,"USP2"
"156","ENSG00000038358",1,"EDC4"
"157","ENSG00000038382",1,"TRIO"
"158","ENSG00000038427",9,"VCAN"
"159","ENSG00000038945",2,"MSR1"
"160","ENSG00000039068",11,"CDH1"
"161","ENSG00000039123",1,"MTREX"
"162","ENSG00000039537",1,"C6"
"163","ENSG00000039560",1,"RAI14"
"164","ENSG00000039650",1,"PNKP"
"165","ENSG00000040199",3,"PHLPP2"
"166","ENSG00000040341",1,"STAU2"
"167","ENSG00000040608",2,"RTN4R"
"168","ENSG00000041353",1,"RAB27B"
"169","ENSG00000041802",1,"LSG1"
"170","ENSG00000041880",1,"PARP3"
"171","ENSG00000041982",21,"TNC"
"172","ENSG00000042286",2,"AIFM2"
"173","ENSG00000042493",2,"CAPG"
"174","ENSG00000042813",1,"ZPBP"
"175","ENSG00000044115",1,"CTNNA1"
"176","ENSG00000044524",3,"EPHA3"
"177","ENSG00000044574",7,"HSPA5"
"178","ENSG00000046774",1,"MAGEC2"
"179","ENSG00000046889",1,"PREX2"
"180","ENSG00000047315",1,"POLR2B"
"181","ENSG00000047410",1,"TPR"
"182","ENSG00000047457",3,"CP"
"183","ENSG00000047644",1,"WWC3"
"184","ENSG00000047932",3,"GOPC"
"185","ENSG00000047936",12,"ROS1"
"186","ENSG00000048028",1,"USP28"
"187","ENSG00000048052",2,"HDAC9"
"188","ENSG00000048162",1,"NOP16"
"189","ENSG00000048462",1,"TNFRSF17"
"190","ENSG00000048540",1,"LMO3"
"191","ENSG00000048649",1,"RSF1"
"192","ENSG00000048740",1,"CELF2"
"193","ENSG00000048828",1,"FAM120A"
"194","ENSG00000049130",2,"KITLG"
"195","ENSG00000049247",1,"UTS2"
"196","ENSG00000049249",1,"TNFRSF9"
"197","ENSG00000049283",1,"EPN3"
"198","ENSG00000049323",1,"LTBP1"
"199","ENSG00000049656",1,"CLPTM1L"
"200","ENSG00000049759",1,"NEDD4L"
"201","ENSG00000049768",8,"FOXP3"
"202","ENSG00000049769",1,"PPP1R3F"
"203","ENSG00000049860",1,"HEXB"
"204","ENSG00000050130",1,"JKAMP"
"205","ENSG00000050165",7,"DKK3"
"206","ENSG00000050426",2,"LETMD1"
"207","ENSG00000050628",1,"PTGER3"
"208","ENSG00000050820",3,"BCAR1"
"209","ENSG00000051108",1,"HERPUD1"
"210","ENSG00000051180",12,"RAD51"
"211","ENSG00000051382",4,"PIK3CB"
"212","ENSG00000051523",1,"CYBA"
"213","ENSG00000052344",1,"PRSS8"
"214","ENSG00000052749",1,"RRP12"
"215","ENSG00000053372",1,"MRTO4"
"216","ENSG00000053438",2,"NNAT"
"217","ENSG00000053747",1,"LAMA3"
"218","ENSG00000054118",1,"THRAP3"
"219","ENSG00000054179",1,"ENTPD2"
"220","ENSG00000054267",1,"ARID4B"
"221","ENSG00000054523",2,"KIF1B"
"222","ENSG00000054598",1,"FOXC1"
"223","ENSG00000055118",2,"KCNH2"
"224","ENSG00000055130",2,"CUL1"
"225","ENSG00000055332",2,"EIF2AK2"
"226","ENSG00000055917",1,"PUM2"
"227","ENSG00000056097",1,"ZFR"
"228","ENSG00000056558",2,"TRAF1"
"229","ENSG00000057019",1,"DCBLD2"
"230","ENSG00000057149",1,"SERPINB3"
"231","ENSG00000057252",2,"SOAT1"
"232","ENSG00000057294",3,"PKP2"
"233","ENSG00000057657",1,"PRDM1"
"234","ENSG00000057663",1,"ATG5"
"235","ENSG00000058056",1,"USP13"
"236","ENSG00000058085",2,"LAMC2"
"237","ENSG00000058091",2,"CDK14"
"238","ENSG00000058272",2,"PPP1R12A"
"239","ENSG00000058335",1,"RASGRF1"
"240","ENSG00000058404",1,"CAMK2B"
"241","ENSG00000058453",1,"CROCC"
"242","ENSG00000058673",1,"ZC3H11A"
"243","ENSG00000058729",1,"RIOK2"
"244","ENSG00000059804",4,"SLC2A3"
"245","ENSG00000059915",1,"PSD"
"246","ENSG00000060140",1,"STYK1"
"247","ENSG00000060237",1,"WNK1"
"248","ENSG00000060642",1,"PIGV"
"249","ENSG00000060656",1,"PTPRU"
"250","ENSG00000060718",1,"COL11A1"
"251","ENSG00000060971",1,"ACAA1"
"252","ENSG00000060982",1,"BCAT1"
"253","ENSG00000061273",3,"HDAC7"
"254","ENSG00000061918",1,"GUCY1B1"
"255","ENSG00000061938",1,"TNK2"
"256","ENSG00000063169",3,"BICRA"
"257","ENSG00000063176",3,"SPHK2"
"258","ENSG00000063180",1,"CA11"
"259","ENSG00000063660",1,"GPC1"
"260","ENSG00000064012",25,"CASP8"
"261","ENSG00000064300",14,"NGFR"
"262","ENSG00000064393",2,"HIPK2"
"263","ENSG00000064601",1,"CTSA"
"264","ENSG00000064651",3,"SLC12A2"
"265","ENSG00000064655",1,"EYA2"
"266","ENSG00000064692",1,"SNCAIP"
"267","ENSG00000064961",1,"HMG20B"
"268","ENSG00000065029",1,"ZNF76"
"269","ENSG00000065135",1,"GNAI3"
"270","ENSG00000065268",1,"WDR18"
"271","ENSG00000065320",6,"NTN1"
"272","ENSG00000065357",1,"DGKA"
"273","ENSG00000065361",10,"ERBB3"
"274","ENSG00000065559",1,"MAP2K4"
