"","V3","n","hgnc_symbol"
"147","ENSG00000017427",60,"IGF1"
"148","ENSG00000017797",4,"RALBP1"
"149","ENSG00000018236",2,"CNTN1"
"150","ENSG00000018408",4,"WWTR1"
"151","ENSG00000019144",1,"PHLDB1"
"152","ENSG00000019186",15,"CYP24A1"
"153","ENSG00000019549",13,"SNAI2"
"154","ENSG00000019582",3,"CD74"
"155","ENSG00000019991",18,"HGF"
"156","ENSG00000019995",1,"ZRANB1"
"157","ENSG00000020129",1,"NCDN"
"158","ENSG00000020256",1,"ZFP64"
"159","ENSG00000020633",2,"RUNX3"
"160","ENSG00000020922",2,"MRE11"
"161","ENSG00000021355",1,"SERPINB1"
"162","ENSG00000021461",5,"CYP3A43"
"163","ENSG00000021488",1,"SLC7A9"
"164","ENSG00000021762",1,"OSBPL5"
"165","ENSG00000021852",1,"C8B"
"166","ENSG00000022267",1,"FHL1"
"167","ENSG00000022277",1,"RTF2"
"168","ENSG00000022976",1,"ZNF839"
"169","ENSG00000023191",2,"RNH1"
"170","ENSG00000023228",1,"NDUFS1"
"171","ENSG00000023287",2,"RB1CC1"
"172","ENSG00000023330",1,"ALAS1"
"173","ENSG00000023445",3,"BIRC3"
"174","ENSG00000023839",2,"ABCC2"
"175","ENSG00000024048",1,"UBR2"
"176","ENSG00000024526",2,"DEPDC1"
"177","ENSG00000025156",1,"HSF2"
"178","ENSG00000025423",2,"HSD17B6"
"179","ENSG00000025434",3,"NR1H3"
"180","ENSG00000025708",4,"TYMP"
"181","ENSG00000025796",1,"SEC63"
"182","ENSG00000025800",1,"KPNA6"
"183","ENSG00000026025",13,"VIM"
"184","ENSG00000026036",1,"RTEL1-TNFRSF6B"
"185","ENSG00000026103",13,"FAS"
"186","ENSG00000026297",1,"RNASET2"
"187","ENSG00000026508",31,"CD44"
"188","ENSG00000027697",1,"IFNGR1"
"189","ENSG00000028203",1,"VEZT"
"190","ENSG00000028277",1,"POU2F2"
"191","ENSG00000028310",1,"BRD9"
"192","ENSG00000029363",1,"BCLAF1"
"193","ENSG00000029364",6,"SLC39A9"
"194","ENSG00000029534",2,"ANK1"
"195","ENSG00000029559",3,"IBSP"
"196","ENSG00000029725",1,"RABEP1"
"197","ENSG00000029993",1,"HMGB3"
"198","ENSG00000030110",8,"BAK1"
"199","ENSG00000030582",6,"GRN"
"200","ENSG00000031698",1,"SARS"
"201","ENSG00000032219",1,"ARID4A"
"202","ENSG00000032389",1,"EIPR1"
"203","ENSG00000032444",1,"PNPLA6"
"204","ENSG00000033122",1,"LRRC7"
"205","ENSG00000033170",2,"FUT8"
"206","ENSG00000033178",1,"UBA6"
"207","ENSG00000033627",1,"ATP6V0A1"
"208","ENSG00000033800",9,"PIAS1"
"209","ENSG00000034152",2,"MAP2K3"
"210","ENSG00000034677",1,"RNF19A"
"211","ENSG00000034971",1,"MYOC"
"212","ENSG00000035115",1,"SH3YL1"
"213","ENSG00000035403",3,"VCL"
"214","ENSG00000035681",1,"NSMAF"
"215","ENSG00000035687",1,"ADSS"
"216","ENSG00000035862",10,"TIMP2"
"217","ENSG00000036257",9,"CUL3"
"218","ENSG00000036672",2,"USP2"
"219","ENSG00000036828",5,"CASR"
"220","ENSG00000037280",9,"FLT4"
"221","ENSG00000037637",1,"FBXO42"
"222","ENSG00000037965",3,"HOXC8"
"223","ENSG00000038219",1,"BOD1L1"
"224","ENSG00000038274",1,"MAT2B"
"225","ENSG00000038295",1,"TLL1"
"226","ENSG00000038382",1,"TRIO"
"227","ENSG00000038427",4,"VCAN"
