"","V3","n","hgnc_symbol"
"147","ENSG00000011258",2,"MBTD1"
"148","ENSG00000011260",3,"UTP18"
"149","ENSG00000011304",3,"PTBP1"
"150","ENSG00000011405",1,"PIK3C2A"
"151","ENSG00000011422",38,"PLAUR"
"152","ENSG00000011426",6,"ANLN"
"153","ENSG00000011451",1,"WIZ"
"154","ENSG00000011465",11,"DCN"
"155","ENSG00000011478",2,"QPCTL"
"156","ENSG00000011485",3,"PPP5C"
"157","ENSG00000011600",1,"TYROBP"
"158","ENSG00000011677",1,"GABRA3"
"159","ENSG00000012048",1735,"BRCA1"
"160","ENSG00000012061",25,"ERCC1"
"161","ENSG00000012171",6,"SEMA3B"
"162","ENSG00000012223",7,"LTF"
"163","ENSG00000012232",1,"EXTL3"
"164","ENSG00000012504",8,"NR1H4"
"165","ENSG00000012779",7,"ALOX5"
"166","ENSG00000012822",1,"CALCOCO1"
"167","ENSG00000012963",1,"UBR7"
"168","ENSG00000013016",1,"EHD3"
"169","ENSG00000013275",4,"PSMC4"
"170","ENSG00000013364",10,"MVP"
"171","ENSG00000013561",1,"RNF14"
"172","ENSG00000013563",1,"DNASE1L1"
"173","ENSG00000013588",5,"GPRC5A"
"174","ENSG00000013810",5,"TACC3"
"175","ENSG00000014123",2,"UFL1"
"176","ENSG00000014164",1,"ZC3H3"
"177","ENSG00000014216",6,"CAPN1"
"178","ENSG00000014257",1,"ACPP"
"179","ENSG00000014641",2,"MDH1"
"180","ENSG00000014914",1,"MTMR11"
"181","ENSG00000015133",1,"CCDC88C"
"182","ENSG00000015171",2,"ZMYND11"
"183","ENSG00000015475",10,"BID"
"184","ENSG00000015479",1,"MATR3"
"185","ENSG00000016082",1,"ISL1"
"186","ENSG00000016391",2,"CHDH"
"187","ENSG00000016490",1,"CLCA1"
"188","ENSG00000016602",1,"CLCA4"
"189","ENSG00000017260",3,"ATP2C1"
"190","ENSG00000017427",133,"IGF1"
"191","ENSG00000017797",3,"RALBP1"
"192","ENSG00000018236",1,"CNTN1"
"193","ENSG00000018408",36,"WWTR1"
"194","ENSG00000018610",1,"CXorf56"
"195","ENSG00000018699",2,"TTC27"
"196","ENSG00000019186",12,"CYP24A1"
"197","ENSG00000019549",62,"SNAI2"
"198","ENSG00000019582",9,"CD74"
"199","ENSG00000019991",36,"HGF"
"200","ENSG00000019995",1,"ZRANB1"
"201","ENSG00000020181",1,"ADGRA2"
"202","ENSG00000020256",1,"ZFP64"
"203","ENSG00000020426",2,"MNAT1"
"204","ENSG00000020633",13,"RUNX3"
"205","ENSG00000020922",18,"MRE11"
"206","ENSG00000021355",1,"SERPINB1"
"207","ENSG00000021461",1,"CYP3A43"
"208","ENSG00000021488",1,"SLC7A9"
"209","ENSG00000021645",1,"NRXN3"
"210","ENSG00000021762",1,"OSBPL5"
"211","ENSG00000021776",2,"AQR"
"212","ENSG00000022267",1,"FHL1"
"213","ENSG00000022277",1,"RTF2"
"214","ENSG00000023041",1,"ZDHHC6"
"215","ENSG00000023171",2,"GRAMD1B"
"216","ENSG00000023191",3,"RNH1"
"217","ENSG00000023287",8,"RB1CC1"
"218","ENSG00000023445",5,"BIRC3"
"219","ENSG00000023516",2,"AKAP11"
"220","ENSG00000023734",3,"STRAP"
"221","ENSG00000023839",7,"ABCC2"
"222","ENSG00000023892",1,"DEF6"
"223","ENSG00000023909",1,"GCLM"
"224","ENSG00000024422",2,"EHD2"
"225","ENSG00000024526",1,"DEPDC1"
"226","ENSG00000025156",1,"HSF2"
"227","ENSG00000025293",1,"PHF20"
"228","ENSG00000025434",1,"NR1H3"
"229","ENSG00000025708",4,"TYMP"
"230","ENSG00000025770",1,"NCAPH2"
"231","ENSG00000025772",1,"TOMM34"
"232","ENSG00000025796",2,"SEC63"
"233","ENSG00000025800",3,"KPNA6"
"234","ENSG00000026025",33,"VIM"
"235","ENSG00000026103",33,"FAS"
"236","ENSG00000026508",143,"CD44"
"237","ENSG00000027075",7,"PRKCH"
"238","ENSG00000027697",1,"IFNGR1"
"239","ENSG00000027847",1,"B4GALT7"
"240","ENSG00000028116",3,"VRK2"
"241","ENSG00000028137",4,"TNFRSF1B"
"242","ENSG00000028310",1,"BRD9"
"243","ENSG00000029153",2,"ARNTL2"
"244","ENSG00000029363",1,"BCLAF1"
"245","ENSG00000029364",2,"SLC39A9"
"246","ENSG00000029534",1,"ANK1"
"247","ENSG00000029559",6,"IBSP"
"248","ENSG00000029639",1,"TFB1M"
"249","ENSG00000029725",1,"RABEP1"
"250","ENSG00000029993",2,"HMGB3"
"251","ENSG00000030066",1,"NUP160"
"252","ENSG00000030110",9,"BAK1"
"253","ENSG00000030582",11,"GRN"
"254","ENSG00000031081",2,"ARHGAP31"
"255","ENSG00000032219",3,"ARID4A"
"256","ENSG00000032389",1,"EIPR1"
"257","ENSG00000032444",1,"PNPLA6"
"258","ENSG00000033030",2,"ZCCHC8"
"259","ENSG00000033050",2,"ABCF2"
"260","ENSG00000033170",4,"FUT8"
"261","ENSG00000033327",10,"GAB2"
"262","ENSG00000033627",3,"ATP6V0A1"
"263","ENSG00000033800",3,"PIAS1"
"264","ENSG00000033867",13,"SLC4A7"
"265","ENSG00000034152",3,"MAP2K3"
"266","ENSG00000034510",4,"TMSB10"
"267","ENSG00000034693",1,"PEX3"
"268","ENSG00000035403",3,"VCL"
"269","ENSG00000035664",2,"DAPK2"
"270","ENSG00000035862",16,"TIMP2"
"271","ENSG00000035928",2,"RFC1"
"272","ENSG00000036257",8,"CUL3"
"273","ENSG00000036672",3,"USP2"
"274","ENSG00000036828",13,"CASR"
"275","ENSG00000037042",1,"TUBG2"
"276","ENSG00000037241",2,"RPL26L1"
"277","ENSG00000037280",12,"FLT4"
"278","ENSG00000037474",4,"NSUN2"
"279","ENSG00000037637",1,"FBXO42"
"280","ENSG00000037965",4,"HOXC8"
"281","ENSG00000038219",1,"BOD1L1"
"282","ENSG00000038358",1,"EDC4"
"283","ENSG00000038382",3,"TRIO"
"284","ENSG00000038427",10,"VCAN"
"285","ENSG00000038532",1,"CLEC16A"
"286","ENSG00000038945",2,"MSR1"
"287","ENSG00000039068",228,"CDH1"
"288","ENSG00000039123",2,"MTREX"
"289","ENSG00000039560",1,"RAI14"
"290","ENSG00000040199",3,"PHLPP2"
"291","ENSG00000040275",1,"SPDL1"
"292","ENSG00000040341",1,"STAU2"
"293","ENSG00000040633",1,"PHF23"
"294","ENSG00000041353",5,"RAB27B"
"295","ENSG00000041357",4,"PSMA4"
"296","ENSG00000041802",2,"LSG1"
"297","ENSG00000041880",3,"PARP3"
"298","ENSG00000041982",11,"TNC"
"299","ENSG00000042286",1,"AIFM2"
"300","ENSG00000042429",3,"MED17"
"301","ENSG00000042493",5,"CAPG"
"302","ENSG00000042753",1,"AP2S1"
"303","ENSG00000042980",4,"ADAM28"
"304","ENSG00000043039",1,"BARX2"
"305","ENSG00000043143",1,"JADE2"
"306","ENSG00000043355",1,"ZIC2"
"307","ENSG00000043514",1,"TRIT1"
"308","ENSG00000044090",2,"CUL7"
"309","ENSG00000044115",11,"CTNNA1"
"310","ENSG00000044524",2,"EPHA3"
"311","ENSG00000044574",35,"HSPA5"
"312","ENSG00000046604",3,"DSG2"
"313","ENSG00000046647",1,"GEMIN8"
"314","ENSG00000046653",1,"GPM6B"
"315","ENSG00000046774",3,"MAGEC2"
"316","ENSG00000046889",3,"PREX2"
"317","ENSG00000047188",1,"YTHDC2"
"318","ENSG00000047230",1,"CTPS2"
"319","ENSG00000047315",1,"POLR2B"
"320","ENSG00000047410",2,"TPR"
"321","ENSG00000047578",1,"KIAA0556"
"322","ENSG00000047617",1,"ANO2"
"323","ENSG00000047644",1,"WWC3"
"324","ENSG00000047936",3,"ROS1"
"325","ENSG00000048028",3,"USP28"
"326","ENSG00000048052",4,"HDAC9"
"327","ENSG00000048140",1,"TSPAN17"
"328","ENSG00000048162",4,"NOP16"
"329","ENSG00000048392",2,"RRM2B"
"330","ENSG00000048405",1,"ZNF800"
"331","ENSG00000048462",1,"TNFRSF17"
"332","ENSG00000048649",2,"RSF1"
"333","ENSG00000048707",1,"VPS13D"
"334","ENSG00000048740",1,"CELF2"
"335","ENSG00000048828",1,"FAM120A"
"336","ENSG00000049130",4,"KITLG"
"337","ENSG00000049167",1,"ERCC8"
"338","ENSG00000049192",1,"ADAMTS6"
"339","ENSG00000049246",4,"PER3"
"340","ENSG00000049247",2,"UTS2"
"341","ENSG00000049249",1,"TNFRSF9"
"342","ENSG00000049283",2,"EPN3"
"343","ENSG00000049323",4,"LTBP1"
"344","ENSG00000049540",2,"ELN"
"345","ENSG00000049541",2,"RFC2"
"346","ENSG00000049618",2,"ARID1B"
"347","ENSG00000049656",3,"CLPTM1L"
"348","ENSG00000049759",4,"NEDD4L"
"349","ENSG00000049768",53,"FOXP3"
"350","ENSG00000050165",8,"DKK3"
"351","ENSG00000050327",4,"ARHGEF5"
"352","ENSG00000050344",1,"NFE2L3"
"353","ENSG00000050405",6,"LIMA1"
"354","ENSG00000050426",3,"LETMD1"
"355","ENSG00000050628",3,"PTGER3"
"356","ENSG00000050730",1,"TNIP3"
"357","ENSG00000050748",6,"MAPK9"
"358","ENSG00000050820",28,"BCAR1"
"359","ENSG00000051180",112,"RAD51"
"360","ENSG00000051341",4,"POLQ"
"361","ENSG00000051382",19,"PIK3CB"
"362","ENSG00000051596",2,"THOC3"
"363","ENSG00000051620",1,"HEBP2"
"364","ENSG00000052126",1,"PLEKHA5"
"365","ENSG00000052344",2,"PRSS8"
"366","ENSG00000052749",2,"RRP12"
"367","ENSG00000052841",1,"TTC17"
"368","ENSG00000052850",2,"ALX4"
"369","ENSG00000053254",1,"FOXN3"
"370","ENSG00000053372",1,"MRTO4"
"371","ENSG00000053747",4,"LAMA3"
"372","ENSG00000053900",2,"ANAPC4"
"373","ENSG00000053918",1,"KCNQ1"
"374","ENSG00000054118",1,"THRAP3"
"375","ENSG00000054219",1,"LY75"
"376","ENSG00000054267",5,"ARID4B"
"377","ENSG00000054282",1,"SDCCAG8"
"378","ENSG00000054392",1,"HHAT"
"379","ENSG00000054523",1,"KIF1B"
"380","ENSG00000054598",24,"FOXC1"
"381","ENSG00000054654",1,"SYNE2"
"382","ENSG00000054793",3,"ATP9A"
"383","ENSG00000054796",1,"SPO11"
"384","ENSG00000054938",1,"CHRDL2"
"385","ENSG00000054965",1,"FAM168A"
"386","ENSG00000054983",1,"GALC"
"387","ENSG00000055044",4,"NOP58"
"388","ENSG00000055118",3,"KCNH2"
"389","ENSG00000055130",11,"CUL1"
"390","ENSG00000055163",1,"CYFIP2"
"391","ENSG00000055208",7,"TAB2"
"392","ENSG00000055332",2,"EIF2AK2"
"393","ENSG00000055483",3,"USP36"
"394","ENSG00000055609",7,"KMT2C"
"395","ENSG00000055813",1,"CCDC85A"
"396","ENSG00000055917",2,"PUM2"
"397","ENSG00000055950",1,"MRPL43"
"398","ENSG00000055955",1,"ITIH4"
"399","ENSG00000055957",2,"ITIH1"
"400","ENSG00000056736",11,"IL17RB"
"401","ENSG00000056998",1,"GYG2"
"402","ENSG00000057149",3,"SERPINB3"
"403","ENSG00000057252",2,"SOAT1"
"404","ENSG00000057294",2,"PKP2"
"405","ENSG00000057593",7,"F7"
"406","ENSG00000057657",2,"PRDM1"
"407","ENSG00000057663",2,"ATG5"
"408","ENSG00000057704",1,"TMCC3"
"409","ENSG00000057935",13,"MTA3"
"410","ENSG00000058056",2,"USP13"
"411","ENSG00000058063",1,"ATP11B"
"412","ENSG00000058085",5,"LAMC2"
"413","ENSG00000058091",3,"CDK14"
"414","ENSG00000058272",1,"PPP1R12A"
"415","ENSG00000058404",2,"CAMK2B"
"416","ENSG00000058668",4,"ATP2B4"
"417","ENSG00000058673",3,"ZC3H11A"
"418","ENSG00000059377",2,"TBXAS1"
"419","ENSG00000059728",2,"MXD1"
"420","ENSG00000059758",1,"CDK17"
"421","ENSG00000059804",3,"SLC2A3"
"422","ENSG00000060138",2,"YBX3"
"423","ENSG00000060140",2,"STYK1"
"424","ENSG00000060237",1,"WNK1"
"425","ENSG00000060339",1,"CCAR1"
"426","ENSG00000060688",1,"SNRNP40"
"427","ENSG00000060718",4,"COL11A1"
"428","ENSG00000060749",2,"QSER1"
"429","ENSG00000060982",3,"BCAT1"
"430","ENSG00000061273",2,"HDAC7"
"431","ENSG00000061337",5,"LZTS1"
"432","ENSG00000061455",1,"PRDM6"
"433","ENSG00000061492",1,"WNT8A"
"434","ENSG00000061676",2,"NCKAP1"
"435","ENSG00000061918",1,"GUCY1B1"
"436","ENSG00000061936",1,"SFSWAP"
"437","ENSG00000061938",3,"TNK2"
"438","ENSG00000061987",1,"MON2"
"439","ENSG00000062038",22,"CDH3"
"440","ENSG00000062524",1,"LTK"
"441","ENSG00000062598",3,"ELMO2"
"442","ENSG00000062650",1,"WAPL"
"443","ENSG00000062716",4,"VMP1"
"444","ENSG00000062725",2,"APPBP2"
"445","ENSG00000062822",5,"POLD1"
"446","ENSG00000063046",2,"EIF4B"
"447","ENSG00000063176",4,"SPHK2"
"448","ENSG00000063177",3,"RPL18"
"449","ENSG00000063244",2,"U2AF2"
"450","ENSG00000063322",1,"MED29"
"451","ENSG00000063660",2,"GPC1"
"452","ENSG00000063761",1,"ADCK1"
"453","ENSG00000063854",1,"HAGH"
"454","ENSG00000063978",3,"RNF4"
"455","ENSG00000064012",65,"CASP8"
"456","ENSG00000064102",1,"INTS13"
"457","ENSG00000064205",15,"CCN5"
"458","ENSG00000064225",1,"ST3GAL6"
"459","ENSG00000064270",3,"ATP2C2"
"460","ENSG00000064300",7,"NGFR"
"461","ENSG00000064309",1,"CDON"
"462","ENSG00000064313",1,"TAF2"
"463","ENSG00000064393",4,"HIPK2"
"464","ENSG00000064419",1,"TNPO3"
"465","ENSG00000064545",1,"TMEM161A"
"466","ENSG00000064547",3,"LPAR2"
"467","ENSG00000064607",3,"SUGP2"
"468","ENSG00000064651",1,"SLC12A2"
"469","ENSG00000064655",4,"EYA2"
"470","ENSG00000064666",2,"CNN2"
"471","ENSG00000064703",2,"DDX20"
"472","ENSG00000064726",1,"BTBD1"
"473","ENSG00000064787",4,"BCAS1"
"474","ENSG00000064835",11,"POU1F1"
"475","ENSG00000064886",1,"CHI3L2"
"476","ENSG00000064933",1,"PMS1"
"477","ENSG00000064961",1,"HMG20B"
"478","ENSG00000065060",1,"UHRF1BP1"
"479","ENSG00000065135",2,"GNAI3"
"480","ENSG00000065150",2,"IPO5"
"481","ENSG00000065154",1,"OAT"
"482","ENSG00000065183",1,"WDR3"
"483","ENSG00000065268",2,"WDR18"
"484","ENSG00000065320",2,"NTN1"
"485","ENSG00000065328",2,"MCM10"
"486","ENSG00000065357",2,"DGKA"
"487","ENSG00000065361",102,"ERBB3"
"488","ENSG00000065427",2,"KARS"
"489","ENSG00000065485",1,"PDIA5"
"490","ENSG00000065518",1,"NDUFB4"
"491","ENSG00000065526",3,"SPEN"
"492","ENSG00000065534",5,"MYLK"
"493","ENSG00000065548",1,"ZC3H15"
"494","ENSG00000065559",7,"MAP2K4"
"495","ENSG00000065613",1,"SLK"
"496","ENSG00000065618",1,"COL17A1"
"497","ENSG00000065621",4,"GSTO2"
"498","ENSG00000065675",5,"PRKCQ"
"499","ENSG00000065717",1,"TLE2"
"500","ENSG00000065833",2,"ME1"
"501","ENSG00000065883",2,"CDK13"
"502","ENSG00000065911",3,"MTHFD2"
"503","ENSG00000065923",1,"SLC9A7"
"504","ENSG00000065970",2,"FOXJ2"
"505","ENSG00000065978",45,"YBX1"
